iter	Passed	Remaining
0	163	163544
1	165	82561
2	166	55480
3	168	41926
4	169	33752
5	170	28295
6	171	24393
7	174	21583
8	175	19339
9	177	17526
10	179	16105
11	183	15077
12	185	14073
13	187	13185
14	188	12390
15	190	11721
16	193	11214
17	196	10705
18	198	10228
19	200	9809
20	202	9421
21	204	9085
22	206	8757
23	209	8510
24	211	8242
25	213	7989
26	214	7745
27	216	7512
28	217	7294
29	219	7090
30	220	6900
31	222	6740
32	224	6574
33	226	6423
34	227	6282
35	229	6157
36	232	6056
37	240	6093
38	242	5982
39	245	5900
40	249	5829
41	254	5813
42	256	5717
43	258	5617
44	260	5520
45	262	5437
46	264	5355
47	265	5265
48	266	5177
49	269	5126
50	271	5046
51	272	4965
52	273	4887
53	274	4813
54	275	4740
55	277	4670
56	278	4602
57	279	4539
58	280	4476
59	283	4438
60	285	4398
61	287	4345
62	288	4294
63	290	4243
64	291	4197
65	293	4152
66	294	4106
67	295	4051
68	299	4039
69	301	4005
70	303	3974
71	305	3941
72	307	3907
73	310	3883
74	314	3875
75	317	3854
76	318	3822
77	320	3789
78	322	3760
79	324	3735
80	330	3748
81	331	3715
82	333	3686
83	335	3659
84	336	3624
85	338	3594
86	339	3559
87	340	3529
88	345	3540
89	347	3515
90	350	3498
91	351	3473
92	353	3447
93	354	3420
94	356	3397
95	363	3419
96	365	3398
97	366	3376
98	370	3369
99	372	3349
100	376	3348
101	377	3320
102	378	3297
103	380	3280
104	382	3260
105	383	3237
106	385	3214
107	386	3190
108	389	3180
109	390	3160
110	391	3138
111	393	3116
112	394	3094
113	395	3074
114	396	3054
115	398	3035
116	399	3017
117	401	2998
118	404	2993
119	405	2976
120	407	2959
121	408	2941
122	409	2918
123	410	2900
124	412	2888
125	414	2872
126	416	2861
127	418	2848
128	419	2834
129	421	2819
130	423	2809
131	425	2796
132	427	2783
133	428	2768
134	432	2771
135	434	2758
136	435	2745
137	437	2730
138	439	2719
139	440	2707
140	442	2698
141	444	2686
142	448	2688
143	450	2676
144	452	2667
145	453	2655
146	455	2641
147	456	2628
148	457	2614
149	458	2599
150	460	2589
151	463	2587
152	465	2574
153	466	2561
154	468	2556
155	471	2550
156	473	2542
157	474	2530
158	478	2530
159	480	2524
160	482	2516
161	485	2509
162	486	2499
163	488	2492
164	490	2481
165	492	2476
166	494	2466
167	495	2455
168	496	2443
169	498	2432
170	499	2423
171	503	2422
172	505	2417
173	507	2410
174	510	2404
175	511	2394
176	513	2385
177	514	2376
178	516	2367
179	517	2358
180	518	2346
181	520	2341
182	522	2332
183	524	2324
184	525	2316
185	527	2308
186	528	2299
187	530	2291
188	531	2282
189	533	2274
190	535	2268
191	537	2259
192	538	2251
193	539	2242
194	541	2233
195	542	2225
196	544	2217
197	545	2210
198	547	2202
199	548	2195
200	552	2195
201	554	2191
202	556	2185
203	558	2181
204	560	2174
205	562	2166
206	563	2160
207	568	2162
