iter	Passed	Remaining
0	148	148387
1	149	74815
2	151	50281
3	152	38058
4	154	30686
5	155	25760
6	157	22348
7	159	19716
8	160	17672
9	161	16019
10	163	14669
11	164	13546
12	165	12594
13	167	11763
14	168	11041
15	169	10408
16	171	9905
17	172	9420
18	173	8971
19	174	8567
20	175	8201
21	177	7868
22	178	7565
23	179	7287
24	180	7031
25	181	6793
26	182	6573
27	183	6368
28	184	6183
29	186	6036
30	187	5874
31	189	5725
32	190	5585
33	191	5452
34	193	5328
35	194	5212
36	195	5100
37	197	4997
38	198	4896
39	200	4814
40	202	4725
41	203	4643
42	205	4565
43	206	4487
44	207	4411
45	209	4339
46	210	4264
47	211	4193
48	212	4123
49	214	4076
50	216	4020
51	217	3961
52	218	3907
53	220	3854
54	221	3803
55	223	3761
56	224	3710
57	225	3661
58	226	3614
59	228	3572
60	229	3532
61	230	3492
62	232	3453
63	233	3415
64	234	3379
65	236	3344
66	237	3307
67	238	3269
68	239	3233
69	240	3197
70	241	3164
71	243	3138
72	244	3109
73	245	3077
74	246	3045
75	248	3015
76	249	2985
77	250	2956
78	251	2928
79	252	2901
80	253	2874
81	254	2848
82	255	2817
83	256	2794
84	258	2780
85	259	2759
86	260	2736
87	261	2714
88	263	2692
89	264	2671
90	265	2651
91	266	2631
92	267	2610
93	268	2590
94	270	2572
95	271	2553
96	273	2542
97	274	2526
98	275	2509
99	277	2493
100	278	2477
101	279	2461
102	280	2446
103	282	2431
104	283	2418
105	285	2404
106	286	2389
107	288	2380
108	289	2367
109	291	2355
110	292	2341
111	293	2328
112	295	2315
113	296	2302
114	297	2290
115	298	2277
116	299	2263
117	301	2251
118	303	2244
119	304	2234
120	305	2222
121	306	2208
122	308	2198
123	309	2186
124	310	2175
125	312	2167
126	313	2155
127	314	2145
128	316	2134
129	317	2127
130	319	2118
131	320	2109
132	322	2099
133	323	2090
134	324	2082
135	326	2072
136	327	2063
137	328	2054
138	330	2045
139	331	2037
140	333	2031
141	334	2020
142	335	2011
143	337	2003
144	338	1994
145	339	1986
146	340	1978
147	342	1969
148	343	1962
149	344	1954
150	346	1948
151	348	1942
152	349	1935
153	350	1927
154	352	1920
155	353	1913
156	354	1905
157	356	1898
158	357	1891
159	358	1884
160	359	1874
161	361	1868
162	362	1863
163	364	1858
164	366	1852
165	367	1848
166	369	1841
167	371	1837
168	372	1833
169	374	1827
170	375	1821
171	377	1819
172	379	1813
173	380	1806
174	381	1800
175	383	1793
176	384	1787
177	385	1781
178	387	1775
179	388	1769
180	389	1763
181	391	1758
182	392	1754
183	394	1748
184	395	1742
185	396	1736
186	398	1731
187	399	1726
188	400	1720
189	402	1714
190	403	1708
191	404	1704
192	406	1700
193	407	1694
194	409	1689
195	410	1684
196	412	1680
197	413	1675
198	415	1670
199	416	1665
200	417	1659
201	418	1654
202	420	1649
203	422	1646
204	423	1642
205	424	1637
206	426	1632
207	427	1627
208	428	1622
209	430	1618
210	431	1613
211	432	1609
212	434	1604
213	435	1600
214	437	1597
215	438	1592
216	440	1588
217	441	1583
218	442	1578
219	444	1574
220	445	1569
221	446	1565
222	448	1561
223	449	1556
224	450	1552
225	452	1549
226	453	1545
227	455	1540
228	456	1536
229	457	1532
230	459	1528
231	460	1524
232	461	1519
233	462	1515
234	464	1513
235	466	1509
236	467	1505
237	468	1500
238	470	1496
239	471	1492
240	472	1488
241	473	1484
242	475	1480
243	476	1476
244	477	1472
245	479	1470
246	481	1466
247	482	1462
248	483	1458
249	485	1455
250	486	1452
251	488	1448
252	490	1447
253	494	1452
254	495	1448
255	498	1449
256	500	1446
257	502	1444
258	504	1442
259	505	1439
260	507	1436
261	509	1434
262	510	1431
263	512	1427
264	513	1424
265	514	1420
266	516	1417
267	517	1414
268	519	1410
269	520	1407
270	521	1403
271	524	1402
272	525	1399
273	527	1396
274	528	1393
275	529	1390
276	532	1390
277	534	1388
278	536	1385
279	537	1382
280	541	1384
281	542	1380
282	543	1377
283	544	1374
284	546	1371
285	547	1367
286	549	1364
287	550	1361
288	551	1357
289	554	1357
290	556	1355
291	557	1351
292	559	1348
293	560	1346
294	562	1343
295	563	1340
296	565	1337
297	566	1334
298	568	1333
299	570	1331
300	571	1327
301	573	1324
302	574	1321
303	576	1318
304	577	1315
305	578	1312
306	579	1309
307	581	1305
308	583	1305
309	585	1303
310	587	1300
311	588	1297
312	589	1294
313	591	1292
314	592	1289
315	594	1286
316	595	1283
317	596	1280
318	599	1279
319	600	1276
320	602	1273
321	603	1271
322	605	1268
323	606	1265
324	607	1262
325	609	1259
326	610	1256
327	612	1255
328	614	1253
329	615	1250
330	617	1247
331	618	1244
332	620	1242
333	621	1239
334	622	1236
335	623	1233
336	625	1230
337	629	1232
338	630	1229
339	631	1226
340	633	1223
341	634	1221
342	636	1218
343	637	1215
344	638	1212
345	640	1210
346	642	1209
347	644	1206
348	645	1203
349	646	1201
350	648	1198
351	649	1196
352	651	1193
353	652	1190
354	653	1187
355	654	1184
356	656	1182
357	658	1180
358	659	1178
359	661	1175
360	662	1172
361	663	1169
362	665	1167
363	666	1164
364	667	1161
365	669	1159
366	670	1156
367	672	1155
368	674	1152
369	675	1150
370	676	1147
371	678	1144
372	679	1142
373	680	1139
374	682	1137
375	683	1134
376	684	1131
377	686	1129
378	688	1127
379	689	1125
380	691	1122
381	692	1120
382	694	1118
383	695	1115
384	696	1113
385	698	1110
386	699	1108
387	701	1105
388	702	1104
389	704	1101
390	705	1098
391	706	1096
392	708	1094
393	709	1091
394	710	1088
395	712	1086
396	713	1083
397	714	1081
398	717	1080
399	718	1077
400	720	1075
401	721	1072
402	722	1070
403	723	1067
404	725	1065
405	726	1063
406	728	1061
407	729	1059
408	732	1058
409	734	1056
410	735	1053
411	736	1051
412	738	1048
413	739	1046
414	740	1044
415	742	1041
416	743	1039
417	744	1037
418	747	1036
419	748	1034
420	750	1032
421	751	1029
422	753	1027
423	754	1025
424	755	1022
425	757	1020
426	758	1017
427	759	1015
428	761	1013
429	763	1011
430	764	1009
431	765	1006
432	767	1004
433	768	1002
434	769	1000
435	770	997
436	772	994
437	773	991
438	774	989
439	776	987
440	777	985
441	778	983
442	779	980
443	781	978
444	782	975
445	783	973
446	784	970
447	785	968
448	786	965
449	787	962
450	788	960
451	790	958
452	792	956
453	793	953
454	794	951
455	795	948
456	796	946
457	797	943
458	798	941
459	799	938
460	800	936
461	801	933
462	803	931
463	804	928
464	806	927
465	807	925
466	808	922
467	809	920
468	810	917
469	811	915
470	812	912
471	813	910
472	814	907
473	815	905
474	816	902
475	817	900
476	818	897
477	819	895
478	821	893
479	822	891
480	823	888
481	824	886
482	825	884
483	826	881
484	828	879
485	829	876
486	830	874
487	831	872
488	832	869
489	833	867
490	834	865
491	836	863
492	837	861
493	838	859
494	839	856
495	840	854
496	841	852
497	843	849
498	844	847
499	845	845
500	846	843
501	847	840
502	848	838
503	851	837
504	852	835
505	853	832
506	854	830
507	855	828
508	856	826
509	857	823
510	858	821
511	859	819
512	860	817
513	861	814
514	863	813
515	865	812
516	867	810
517	868	808
518	870	806
519	872	805
520	873	803
521	875	801
522	876	799
523	877	797
524	878	795
525	881	794
526	883	792
527	884	790
528	885	788
529	886	786
530	888	784
531	889	782
532	890	779
533	891	777
534	892	775
535	893	773
536	896	772
537	897	770
538	898	768
539	899	766
540	900	763
541	901	761
542	902	759
543	903	757
544	904	755
545	905	753
546	907	751
547	908	749
548	909	746
549	911	745
550	912	743
551	914	742
552	915	740
553	916	738
554	918	736
555	919	734
556	921	732
557	926	733
558	927	731
559	929	729
560	930	727
561	931	726
562	932	724
563	934	722
564	935	720
565	936	718
566	937	716
567	942	717
568	944	715
569	946	713
570	947	711
571	948	709
572	950	708
573	951	706
574	953	704
575	954	702
576	957	701
577	959	700
578	960	698
579	961	696
580	962	694
581	964	692
582	965	690
583	966	688
584	967	686
585	968	684
586	969	681
587	972	681
588	973	679
589	975	677
590	976	675
591	977	673
592	979	672
593	980	670
594	981	668
595	982	666
596	984	664
597	987	664
598	988	662
599	990	660
600	991	658
601	993	656
602	994	654
603	996	653
604	997	651
605	999	650
606	1002	649
607	1003	647
608	1005	645
609	1007	643
610	1009	642
611	1010	640
612	1012	638
613	1016	638
614	1018	637
615	1020	635
616	1021	634
617	1023	632
618	1024	630
619	1026	629
620	1027	627
621	1031	626
622	1033	625
623	1034	623
624	1036	621
625	1037	619
626	1038	617
627	1039	616
628	1041	614
629	1045	614
630	1047	612
631	1049	610
632	1051	609
633	1053	607
634	1054	606
635	1055	604
636	1056	602
637	1061	602
638	1063	600
639	1064	598
640	1066	597
641	1068	595
642	1070	594
643	1072	592
644	1073	590
645	1076	589
646	1078	588
647	1079	586
648	1080	584
649	1081	582
650	1083	580
651	1084	578
652	1085	576
653	1086	575
654	1088	573
655	1091	572
656	1092	570
657	1094	568
658	1095	566
659	1097	565
660	1098	563
661	1100	561
662	1101	560
